wage,count,share,year
"$1,250 per month or less","348,405",21.8%,2019
"$1,251 to $3,333 per month","872,658",54.7%,2019
"More than $3,333 per month","374,167",23.5%,2019
"$1,250 per month or less","318,399",22.3%,2014
"$1,251 to $3,333 per month","808,783",56.6%,2014
"More than $3,333 per month","302,407",21.2%,2014
